title,platform,score,genre,editors_choice
Puzzle Craft,Android,9,Puzzle,Y
Left 4 Dead 2: Cold Stream,Xbox 360,7,Shooter,N
Horn,iPhone,9,"Action, Adventure",Y
Forza Horizon,Xbox 360,9,Racing,Y
FIFA Soccer 13,PlayStation Vita,4,Sports,N
Mugen Souls,PlayStation 3,3.9,"Strategy, RPG",N
Crazy Taxi,iPhone,7.1,"Racing, Action",N
New Little King's Story,PlayStation Vita,5.8,RPG,N
Fable: The Journey,Xbox 360,7.2,"Action, RPG",N
The Lord of the Rings Online: Riders of Rohan,PC,8.3,RPG,N
Doom 3: BFG Edition,Xbox 360,7.6,RPG,N
Rugby League Live 2,Xbox 360,6,Sports,N
Rugby League Live 2,PlayStation 3,6,Sports,N
Doom 3: BFG Edition,PlayStation 3,7.6,RPG,N
Punch Quest,iPhone,9.3,Action,Y
